company,revenues_rank,profit_rank,networth_rank,assets_rank,fsi_rank
Microns,992,780,879,910,808
Asian Granito,653,636,655,732,335
Bombay Rayon Fashions,200,908,154,127,797
i Infotech,474,980,983,340,974
Asian Paints,58,50,94,183,10
Borosil Glass,960,439,410,616,455
M India,677,287,363,575,178
Asian Star,224,334,423,408,266
Bosch,87,61,65,124,58
ZInfra,770,930,401,328,970
Astra Microwave Prod,743,395,653,789,382
Brigade Enterprises,439,306,256,261,819
Aarti Drugs,545,347,636,614,417
Astral Poly Technik,457,351,432,586,232
Britannia Ind,113,82,274,438,4
Aarti Ind,257,196,308,303,365
AstraZeneca Pharma,841,823,799,962,197
BS Ltd,270,356,438,456,299
Aarvee Denims,697,774,678,659,691
Atlanta,723,446,397,366,792
BSL,978,697,885,929,738
Aban Offshore,190,93,78,65,901
Atlas Cycles,775,819,855,934,440
Butterfly Gandhi,828,741,709,767,636
ABB India,121,186,137,257,49
Atul Auto,851,483,830,978,77
C& CConstructions,584,921,882,288,936
AbbottIndia,317,185,323,526,12
Atul,277,178,302,450,78
Cadila Healthcare,102,59,100,141,155
ABG Shipyard,985,977,447,125,996
Aurionpro Solutions,695,912,488,625,502
Cairn India,54,19,5,21,173
ACC,73,58,59,119,51
Aurobindo Pharma,68,44,83,105,187
Camlin Fine Sciences,806,411,819,871,418
Accel Frontline,868,778,843,853,762
Autoline Ind,823,872,766,793,737
Camphor& Allied Products,1000,603,820,900,611
Action Constructions,795,701,679,744,544
Automobile Corp of Goa,945,633,771,947,360
Carborundum Universal,341,251,303,430,132
Adani Enterprises,42,38,31,12,756
Automotive Axles,616,587,646,814,75
CastexTechnologies,202,162,148,118,783
Adani Ports,132,34,52,51,562
Avanti Feeds,386,272,671,845,40
Castrol,222,106,479,717,17
Adani Power,48,975,75,34,768
BLKashyap & Sons,642,874,544,458,919
CCLProducts,622,309,534,654,246
AdhunikIndustries,925,660,850,932,541
Bajaj Auto,43,26,49,96,8
CEAT,145,145,215,306,110
AdhunikMetaliks,280,484,297,202,867
Bajaj Corp,644,219,484,725,169
Centum Electronics,838,466,823,897,344
Aditya Birla Chem,539,499,511,416,693
Bajaj Electricals,180,814,405,483,225
Century Enka,502,503,399,559,239
Aditya Birla Nuvo,36,49,45,18,818
Bajaj Hindusthan Sugar,185,984,223,116,914
Century Plyboard,418,237,565,555,293
AdorWelding,936,528,742,933,306
Balaji Amines,771,512,708,720,563
Century Textiles,120,631,183,114,671
Advanta,433,329,387,388,667
Balasore Alloys,627,542,549,508,622
Cera Sanitaryware,651,375,590,749,211
Agro Tech Foods,684,501,627,830,154
BallarpurInd,164,831,173,111,703
Chaman Lal Setia Exports,846,599,870,976,285
Ahluwalia Contracts,565,391,602,695,254
BalmerLawrie,229,235,299,463,60
Chambal Fertilisers,91,156,167,158,330
AIAEngineering,319,111,180,331,135
BalrampurChini,288,875,289,280,759
Chennai Petro,24,853,214,137,276
Ajanta Pharma,451,149,355,550,93
Banco Products,520,324,425,646,129
Cigniti Techn,970,560,667,856,686
Ajanta Soya,809,744,921,996,689
Bannari Amman Spg,731,647,682,624,690
Cipla,74,57,51,88,159
AKZO Nobel India,284,207,326,520,21
Bannari Amman Sugars,591,759,321,333,778
ClariantChemicals,329,67,245,432,307
AlbertDavid,991,645,856,974,223
Banswara Syntex,498,691,719,564,648
Claris Lifesciences,705,266,263,365,749
Alembic Pharmaceuticals,343,158,340,477,97
BASF,168,881,285,266,505
Coal India,14,5,12,14,124
Alkem Laboratories,196,108,134,212,234
Bata India,323,208,314,490,72
Coffee Day Enterprise,313,889,926,213,786
Alkyl Amines Chem,877,456,762,854,364
BayerCropScience,207,125,186,343,29
Colgate-Palmolive,194,92,379,583,2
Allcargo Logistics,146,179,192,300,87
BCL,726,699,868,894,674
Consolidated Const,718,924,809,427,983
Alliance Integrated Metaliks,826,760,459,536,834
Beekay Steel Inds,827,629,768,787,645
ContainerCorp,136,63,64,126,104
AlokInd,53,183,79,59,746
BEML,278,711,179,258,259
Core Education & Tech,679,987,957,349,927
Alps Ind,751,835,984,554,992
BergerPaints,177,164,272,364,98
Alstom India,325,213,316,507,28
BGR Energy Sys,226,536,275,214,736
Cosmo Films,424,551,567,562,361
Alstom T&D,208,262,265,395,65
Bhageria Dye Chem,923,502,886,990,176
Country Club Hos & Holi,854,553,307,423,859
Amara Raja Batteries,181,116,211,377,13
Bhansali Engg Poly,787,715,842,913,353
Coxand Kings,253,313,197,156,734
Ambika Cotton Mills,870,430,648,818,320
BharatBijlee,784,844,670,779,595
Cranes Software,901,854,963,574,999
Ambuja Cements,86,47,56,103,89
BharatElectronics,123,54,60,117,82
Crompton Greaves,63,194,106,151,263
AmtekAuto,56,74,72,54,873
BharatForge,119,78,111,162,209
Cummins India,166,76,135,267,31
AnantRaj,864,243,101,177,725
