date,current_price,actual_future,pred_future,actual_signal,pred_signal,correct
2025-07-04,1521.22,1489.25,1519.61,SELL,HOLD,False
2025-07-07,1535.37,1477.8,1524.39,SELL,HOLD,False
2025-07-08,1531.48,1479.49,1528.1,SELL,HOLD,False
2025-07-09,1512.96,1479.69,1526.43,SELL,HOLD,False
2025-07-10,1511.16,1470.53,1518.47,SELL,HOLD,False
2025-07-11,1489.25,1470.13,1506.22,SELL,BUY,False
2025-07-14,1477.8,1422.92,1493.05,SELL,BUY,False
2025-07-15,1479.49,1407.18,1482.1,SELL,HOLD,False
2025-07-16,1479.69,1418.93,1471.53,SELL,HOLD,False
2025-07-17,1470.53,1397.32,1459.35,SELL,HOLD,False
2025-07-18,1470.13,1386.16,1447.25,SELL,SELL,True
2025-07-21,1422.92,1382.08,1430.16,SELL,HOLD,False
2025-07-22,1407.18,1411.46,1411.91,HOLD,HOLD,True
2025-07-23,1418.93,1404.49,1398.38,SELL,SELL,True
2025-07-24,1397.32,1384.67,1387.73,HOLD,HOLD,True
2025-07-25,1386.16,1388.16,1380.21,HOLD,HOLD,True
2025-07-28,1382.08,1405.89,1375.45,BUY,HOLD,False
2025-07-29,1411.46,1386.16,1373.76,SELL,SELL,True
2025-07-30,1404.49,1387.26,1373.84,SELL,SELL,True
2025-07-31,1384.67,1383.87,1374.16,HOLD,HOLD,True
2025-08-01,1388.16,1362.36,1375.29,SELL,HOLD,False
2025-08-04,1405.89,1380.69,1379.58,SELL,SELL,True
2025-08-05,1386.16,1374.91,1384.48,HOLD,HOLD,True
2025-08-06,1387.26,1377.1,1388.67,HOLD,HOLD,True
2025-08-07,1383.87,1373.8,1389.77,HOLD,HOLD,True
2025-08-08,1362.36,1381.7,1389.14,BUY,BUY,True
2025-08-11,1380.69,1420.1,1389.49,BUY,HOLD,False
2025-08-12,1374.91,1413.0,1389.24,BUY,BUY,True
2025-08-13,1377.1,1424.8,1389.4,BUY,HOLD,False
2025-08-14,1373.8,1409.2,1389.39,BUY,BUY,True
