date,current_price,actual_future,pred_future,actual_signal,pred_signal,correct
2025-07-04,3334.94,3184.96,3332.83,SELL,HOLD,False
2025-07-07,3327.04,3142.73,3331.26,SELL,HOLD,False
2025-07-08,3321.68,3171.6,3329.04,SELL,HOLD,False
2025-07-09,3299.84,3163.58,3327.56,SELL,HOLD,False
2025-07-10,3298.08,3140.19,3324.34,SELL,HOLD,False
2025-07-11,3184.96,3121.3,3306.98,SELL,BUY,False
2025-07-14,3142.73,3090.29,3257.83,SELL,BUY,False
2025-07-15,3171.6,3091.66,3177.45,SELL,HOLD,False
2025-07-16,3163.58,3110.74,3102.59,SELL,SELL,True
2025-07-17,3140.19,3080.31,3060.82,SELL,SELL,True
2025-07-18,3121.3,3068.37,3039.82,SELL,SELL,True
2025-07-21,3090.29,3013.08,3025.56,SELL,SELL,True
2025-07-22,3091.66,2990.28,3017.51,SELL,SELL,True
2025-07-23,3110.74,2987.94,3016.68,SELL,SELL,True
2025-07-24,3080.31,2971.5,3015.97,SELL,SELL,True
2025-07-25,3068.37,2938.42,3015.24,SELL,SELL,True
2025-07-28,3013.08,3008.29,3012.29,HOLD,HOLD,True
2025-07-29,2990.28,2998.01,3005.2,HOLD,HOLD,True
2025-07-30,2987.94,2967.09,2997.14,HOLD,HOLD,True
2025-07-31,2971.5,2981.48,2989.24,HOLD,HOLD,True
2025-08-01,2938.42,2971.11,2983.01,BUY,BUY,True
2025-08-04,3008.29,2975.41,2978.97,SELL,HOLD,False
2025-08-05,2998.01,2970.13,2976.59,HOLD,HOLD,True
2025-08-06,2967.09,2970.91,2976.0,HOLD,HOLD,True
2025-08-07,2981.48,2957.31,2975.05,HOLD,HOLD,True
2025-08-08,2971.11,2946.45,2974.43,HOLD,HOLD,True
2025-08-11,2975.41,2951.34,2973.68,HOLD,HOLD,True
2025-08-12,2970.13,3031.97,2972.09,BUY,HOLD,False
2025-08-13,2970.91,3035.88,2970.61,BUY,HOLD,False
2025-08-14,2957.31,2988.33,2968.18,BUY,HOLD,False
2025-08-18,2946.45,3073.07,2966.07,BUY,HOLD,False
2025-08-19,2951.34,3089.31,2965.1,BUY,HOLD,False
2025-08-20,3031.97,3027.17,2963.85,HOLD,SELL,False
2025-08-21,3035.88,3018.37,2965.92,HOLD,SELL,False
2025-08-22,2988.33,3045.67,2968.31,BUY,HOLD,False
2025-08-25,3073.07,3044.59,2971.06,HOLD,SELL,False
2025-08-26,3089.31,3030.89,2974.7,SELL,SELL,True
2025-08-28,3027.17,3029.13,2978.13,HOLD,SELL,False
2025-08-29,3018.37,2982.75,2981.69,SELL,SELL,True
2025-09-01,3045.67,2954.08,2985.58,SELL,SELL,True
2025-09-02,3044.59,2983.83,2989.14,SELL,SELL,True
2025-09-03,3030.89,3043.12,2992.31,HOLD,SELL,False
2025-09-04,3029.13,3057.02,2995.3,HOLD,SELL,False
2025-09-05,2982.75,3066.02,2997.69,BUY,HOLD,False
2025-09-08,2954.08,3044.98,2999.74,BUY,BUY,True
2025-09-09,2983.83,3078.06,3001.03,BUY,HOLD,False
2025-09-10,3043.12,3104.57,3001.84,BUY,SELL,False
2025-09-11,3057.02,3108.39,3002.7,BUY,SELL,False
2025-09-12,3066.02,3101.05,3004.8,BUY,SELL,False
2025-09-15,3044.98,3007.7,3007.25,SELL,SELL,True
2025-09-16,3078.06,2996.55,3009.32,SELL,SELL,True
2025-09-17,3104.57,2970.13,3012.16,SELL,SELL,True
2025-09-18,3108.39,2893.8,3016.18,SELL,SELL,True
2025-09-19,3101.05,2836.76,3019.12,SELL,SELL,True
2025-09-22,3007.7,2833.82,3019.85,SELL,HOLD,False
2025-09-23,2996.55,2826.29,3017.65,SELL,HOLD,False
2025-09-24,2970.13,2851.53,3014.49,SELL,BUY,False
2025-09-25,2893.8,2839.5,3007.43,SELL,BUY,False
2025-09-26,2836.76,2924.14,2995.72,BUY,BUY,True
2025-09-29,2833.82,2909.75,2981.4,BUY,BUY,True
